key,server,nl,fr,de,en
"As a default all guests stay the full period in the accomodation.  If this it not the case, please provide the any deviation form the default in the remarks field below.",,"Standaard verblijven alle gasten de volledige periode in de accommodatie. Als dit niet het geval is, geef dan de eventuele afwijking van de standaard aan in het opmerkingenveld hieronder.","De façon standard, toutes les personnes séjournent au même logement pendant toute la période. Si cela n'est pas le cas, veuillez indiquer l'éventuelle dérogation dans la case à remarques ci-dessous.","Standardmäßig bleiben alle Gäste für den gesamten Zeitraum in der Unterkunft. Wenn dies nicht der Fall ist, geben Sie bitte jede Abweichung im Feld Bemerkungen hierunten an.","As a default all guests stay the full period in the accomodation.  If this it not the case, please provide the any deviation form the default in the remarks field below."
Back,,Terug,Retour,Zurück,Back
Badge image,,Badgefoto,Photo du badge,Foto des Badges,Badge image
BEL rating,,BEL rating,Elo BEL,Elo BEL,BEL rating
Belgian id,,Stamnummer,Matricule,ID-Nummer,Belgian id
Belgian rating,,Belgische rating,Elo belge,Belgische Elo,Belgian rating
Belgian Youth Chess Championships 2020,,Belgisch Jeugdkampioenschappen Schaken 2021,Championnats de Belgique d'échecs de la jeunesse 2021,Belgische Schach-Jugend-Landesmeisterschaft 2021,Belgian Youth Chess Championships 2020
Birth date,,Geboortedag,Jour de naissance,Geburtstag,Birth date
Birthdate,,Geboortedatum,Date de naissance,Geburtsdatum,Birthdate
birthday is required,,Geboortedatum is vereist,Date de naissance est obligatoire,das Geburtsdatum ist erforderlich,birthday is required
Birthyear,,Geboortejaar,Année de naissance,Geburtsjahr,Birthyear
black,,zwart,Noirs,Schwarz,black
Boys,,Jongens,Garçons,Jungen,Boys
BYC 2022,,BJK 2022,CBJ 2022,BJLM 2022,BYC 2022
Bycco is taking overview photos/videos of the championships and can publish these photos/videos on its website and on social media,,Bycco neemt overzichtsfoto's en -video's tijdens het kampioenschap en publiceert deze op de website en op sociale media.,Bycco prend des photos / fait des vidéos d’ensemble lors des championnats et peut publier ces photos / vidéos sur le site web et sur les médias sociaux,Bycco nimmt Gesamtaufnahmen der Meisterschaften und kann diese Fotos / Videos auf seiner Webseite und in sozialen Medien veröffentlichen.,Bycco is taking overview photos/videos of the championships and can publish these photos/videos on its website and on social media
Bycco will use all personal data like mobile numbers and email addresses for internal purposes only.,,Bycco zal alle persoonlijke data zoals GSM en E-mail enkel voor intern gebruik aanwenden.,"Bycco n'utilisera les données privées, telles que le numéro de GSM et l'adresse mail, qu'à des fins internes.",Bycco verwendet alle persönlichen Daten wie Handynummern und E-Mail Adressen nur für interne Zwecke.,Bycco will use all personal data like mobile numbers and email addresses for internal purposes only.
Calendar,,Agenda,Calendrier,Agenda,Calendar
Can become Belgian champion,,Kan Belgisch kampioen worden,Peut devenir champion belge,Kann belgischer Meister werden,Can become Belgian champion
Category,,Categorie,Catégorie,Kategorie,Category
Catering,,Catering,Restauration,Catering,Catering
Chess title,,Schaaktitel,Titre d’échecs,Schach-Titel,Chess title
Club id,,Club id,ID cercle,Club-ID,Club id
Confirm,,Bevestigen,Confirmer,Bestätigen,Confirm
Confirmation,,Bevestiging,Confirmation,Bestätigung,Confirmation
Confirmation details,,Bevestigingsdetails,Détails de la confirmation,Bestätigungsdetails,Confirmation details
Confirmation Subscription,,Bevesting inschrijving,Confirmation de l’inscription,Bestätigung Registrierung,Confirmation Subscription
Contact,,Contact,Contact,Kontakt,Contact
Continue,,Verder,Continuer,Weiter,Continue
Continue reading,,Lees verder,En savoir plus,Weiter lesen,Continue reading
Covid19 rules,,Covid19 rules,Règles Covid19,Covid19 Regeln,Covid19 rules
Date,,Datum,Date,Datum,Date
Departure date,,Vertrekdatum,Date de départ,Datum Abreise,Departure date
Details,,Details,Détails,Details,Details
Details player,,Spelerdetails,Détails du joueur,Spieler Details,Details player
Document for School,,Schooldocument,Document pour l'école,Dokument für die Schule,Document for School
"Don't forget to mention the details of requester, in case he/she stays in this lodging.",,"Vergeet de gegevens van de aanvrager niet te vermelden, voor het geval hij/zij in deze accommodatie verblijft.","N'oubliez pas de mentionner les coordonnées du demandeur, s'il séjourne dans ce logement.","Vergessen Sie nicht, die Daten des Antragstellers anzugeben, falls er/sie in dieser Unterkunft bleibt.","Don't forget to mention the details of requester, in case he/she stays in this lodging."
Double hotel room (2 or 3 pers),,2-persoonskamer hotel (2 of 3 pers),chambre d'hôtel 2 personnes (2 ou 3 personnes),2-Personenzimmer Hotel (2 oder 3 Personen),Double hotel room (2 or 3 pers)
Email,,e-mail,e-mail,E-Mail,Email
Email address,,E-mailadres,Adresse e-mail,E-Mail-Adresse,Email address
Email is required,,E-mail is vereist,L'adresse e-mail est requise,Die E-Mail-Adresse ist erforderlich,Email is required
Email parent,,E-mail ouder,Adresse e-mail du parent,E-Mail-Adresse Elternteil,Email parent
Email player,,E-mail speler,Adresse e-mail du joueur,E-Mail-Adresse Spieler,Email player
Email representative,,E-mail verantwoordelijke,E-mail responsable,E-Mail-Adresse verantwortliche Person,Email representative
Enrollment,,Inschrijving,Enregistrement,Anmeldung,Enrollment
Enrollment 2022,,Inschrijving 2022,Enregistrement 2022,Anmeldung 2022,Enrollment 2022
Enrollment link.,,Inschrijvingslink,Lien d'inscription.,Anmeldungslink.,Enrollment link.
Error,,Fout,Erreur,Fehler,Error
Federation,,Federation,Féderation,Föderation,Federation
Female,,Vrouwelijk,Féminin,Weiblich,Female
FIDE id,,FIDE id,ID FIDE,FIDE-ID,FIDE id
FIDE Nationality,,FIDE Nationaliteit,Nationalité FIDE,FIDE Staatsangehörigkeit,FIDE Nationality
FIDE rating,,FIDE rating,Rating FIDE,FIDE Elo,FIDE rating
Files,,Bestanden,Fichiers,Dateien,Files
Filter categories,,Filter categorieën,Trier par catégorie,Filter pro Kategorie,Filter categories
First name,,Voornaam,Prénom,Vorname,First name
First name is required,,Voornaam is vereist,Le prénom est requis,Der Vorname ist erforderlich,First name is required
For the FIDE you are a Belgian. This means you can win the Belgian title and you can participate at the European and World Championships as part of the Belgian team.,,Voor de FIDE ben je een Belg. Dit betekent dat je Belgisch kampioen kan worden en dat je je aan het EK / WK kan deelnemen in het Belgische team.,"Pour la FIDE, vous êtes Belge. Cela signifie que vous pouvez devenir champion de Belgique et que vous pouvez participer au CE / CM comme membre de l'équipe belge.","Für die FIDE sind Sie ein Belgier Das bedeutet, dass Sie den belgischen Titel gewinnen können und Sie können an der EM / WM teilnehmen als Spieler der belgischen Mannschaft.",For the FIDE you are a Belgian. This means you can win the Belgian title and you can participate at the European and World Championships as part of the Belgian team.
For the FIDE you are not a Belgian. This means you cannot win the Belgian title and you cannot participate to the European and World Championships as part of the Belgian team.,,Voor de FIDE ben je geen Belg. Dit betekent dat je geen Belgisch kampioen kan worden en dat je niet aan het EK / WK kan deelnemen in het Belgische team.,"Pour la FIDE, vous n'êtes pas Belge. Cela signifie que vous ne pouvez pas devenir champion de Belgique et que vous ne pouvez pas participer au CE / CM comme membre de l'équipe belge.","Für die FIDE sind Sie kein Belgier. Das bedeutet, dass Sie nicht den belgischen Titel gewinnen können und Sie können nicht an der EM / WM teilnehmen als Teilnehmer der belgischen Mannschaft.",For the FIDE you are not a Belgian. This means you cannot win the Belgian title and you cannot participate to the European and World Championships as part of the Belgian team.
Full boarding,,Volpension,Pension complète,Vollpension,Full boarding
Full name,,Volledige naam,Nom complet,Vollständiger Name,Full name
Full name parent,,Volledige naam ouder,Nom complet du parent,Vollständiger Name Elternteil,Full name parent
Full name representative,,Volledige naam verantwoordelijke,Nom complet du responsable,Vollständiger Name Vertreter,Full name representative
Gender,,Geslacht,Sexe,Geschlecht,Gender
Girls,,Meisjes,Filles,Mädchen,Girls
GSM number,,GSM nummer,Numéro GSM,Handynummer,GSM number
GSM parent,,GSM ouder,Numéro GSM du parent,Handynummer Elternteil,GSM parent
GSM player,,GSM speler,Numéro GSM du joueur,Handynummer Spieler,GSM player
GSM representative,,GSM nummer verantwoordelijke,Numéro GSM du responsable,Handynummer Vertreter,GSM representative
Guests,,Gasten,Invités,Gäste,Guests
Half boarding,,Halfpension,Demi-pension,Halbpension,Half boarding
Home,,Home,Accueil,Startseite,Home
"However, you can still send en email to info@bycco.be, requesting for an late enrollment.",,U kunt echter nog steeds een e-mail sturen naar info@bycco.be met het verzoek om een laattijdige inschrijving.,"Cependant, vous pouvez toujours envoyer un e-mail à info@bycco.be, demandant une inscription tardive.",Sie können jedoch immer noch eine E-Mail an info@bycco.be senden und um eine spätere Anmeldung bitten.,"However, you can still send en email to info@bycco.be, requesting for an late enrollment."
I agree,,Ik ben het eens.,Je suis d’accord.,Ich stimme zu.,I agree
ID Club,,Clubnummer,ID cercle,Club-ID,ID Club
ID number,,Stamnummer,Matricule,ID-Nummer,ID number
"If Bycco is taking a close-up photos/video of a player, Bycco will explicitly ask permission to publish.",,"Indien een close-up van een speler genomen wordt, zal Bycco expliciete toestemming vragen om te publiceren.","Si Bycco prend une photo / vidéo en mode portrait d’un joueur, Bycco demandera l'approbation explicite pour la publier.",Wenn Bycco eine Nahaufnahme eines Spielers macht wird Bycco ausdrücklich um Erlaubnis zur Veröffentlichung bitten.,"If Bycco is taking a close-up photos/video of a player, Bycco will explicitly ask permission to publish."
"If the reply is positive, an adminstrative cost of 10 Euro will be charged.",,Bij een positief antwoord wordt een administratieve kost van 10 euro aangerekend.,"Si la réponse est positive, des frais administratifs de 10 euros seront facturés.",Bei positiver Rückmeldung wird eine Bearbeitungsgebühr von 10 Euro erhoben.,"If the reply is positive, an adminstrative cost of 10 Euro will be charged."
"You can still enroll, but an adminstrative cost of 10 Euro will be charged.",,"Inschrijven kan nog wel, maar er wordt wel 10 euro administratiekost aangerekend.","Vous pouvez toujours vous inscrire, mais des frais administratifs de 10 euros vous seront facturés.","Sie können sich trotzdem anmelden, es wird jedoch eine Verwaltungsgebühr von 10 Euro erhoben.","You can still enroll, but an adminstrative cost of 10 Euro will be charged."
"If you want to make a new reservation, click the button below",,"Wilt u een nieuwe reservering maken, klik dan op onderstaande knop","Si vous souhaitez effectuer une nouvelle réservation, cliquez sur le bouton ci-dessous","Wenn Sie eine neue Reservierung vornehmen möchten, klicken Sie auf die Schaltfläche unten","If you want to make a new reservation, click the button below"
Important information,,Belangrijke informatie,Renseignements importants,Wichtige Informationen,Important information
"In case you do not have an id number of the RBCF, please contact your chess club, which can provide it.",,"In het geval dat je nog geen stamnummer van de KBSB hebt, dien je contact op te nemen met jouw club die het nodige zal doen.","Dans le cas où vous n’avez pas de matricule auprès de la FRBE, vous devez contacter votre club qui fera le nécessaire.","Falls Sie keine ID-Nummer beim KSB haben, wenden sie sich an einen Verantwortlichen Ihres Vereins um diese anzufordern.","In case you do not have an id number of the RBCF, please contact your chess club, which can provide it."
In order to make a reservation you need to provide the following elements:,,Je hebt de volgende zaken nodig om een verblijf te reserveren,Il vous faut les éléments suivants pour réserver un séjour:,"Um Ihren Aufenthalt zu buchen, benötigen Sie Folgendes",In order to make a reservation you need to provide the following elements:
Indicate which guests will participate in the tournament,,Geef aan welke gasten zullen deelnemen aan het toernooi,Indiquez quels invités participeront au tournoi,"Geben Sie an, welche Gäste an dem Turnier teilnehmen werden",Indicate which guests will participate in the tournament
Info about adult representative at site,,Info over de afgevaardigde ter plaatse,Information sur le responsable sur place,Info über erwachsene Vertreter vor Ort,Info about adult representative at site
Info about attendant on site,,Info begeleider ter plaatse,Infos sur l'accompagnateur sur place,Infos über Betreuer vor Ort,Info about attendant on site
Info about parent,,Info over ouder,Information sur le parent,Info über Eltern,Info about parent
Info about presence on site,,Info over aanwezigheid ter plaatse,Information sur la présence sur place,Info über Vertreter vor Ort,Info about presence on site
Info participant,,Info deelnemer,Information sur le participant,Info über Teilnehmer,Info participant
Internal Regulations,,Huishoudelijk Reglement,Réglement Ordre Intérieur,Hausinterne Satzung,Internal Regulations
Invalid country code,,Ongeldige landcode,Code de pays invalide,Ungültiger Ländercode,Invalid country code
Invalid value,,Ongeldige waarde,Valeur invalide,Wert ungültig,Invalid value
Invoice,,Factuur,Facture,Rechnung,Invoice
Invoice details,,Factuurdetails,Détails de la facture,Rechnungsdetails,Invoice details
Invoice number,,Factuurnummer,Numéro de facture,Rechnungsnummer,Invoice number
Last name,,Achternaam,Nom de famille,Nachname,Last name
Last name is required,,Achternaam is vereist,Le nom de famille est requis,Der Nachname ist erforderlich,Last name is required
Last update on,,"    console.log('updatePhoto', value)",Mise à jour le,Letztes Update am,Last update on
last_name is required,,Achternaam is vereist,Le nom de famille est requis,Der Nachname ist erforderlich,last_name is required
Length badge image,,Lengte badgefoto,Longueur de la photo du badge,Länge Badgephoto,Length badge image
Live Games,,Live partijen,Parties Live,Live Partien,Live Games
Locale,,Taal,Langue,Sprache,Locale
Lodging,,Verblijf,Séjour,Unterkunft,Lodging
Lodging Allocation,,Toewijzing Verblijf,Attribution séjour,Zuteilung Aufenthalt,Lodging Allocation
Lodging must be chosen,,Accomodatie moet gekozen worden,Le logement doit être choisi,Sie müssen die Unterkunft wählen,Lodging must be chosen
Lookup ID number,,Opzoeken stamnummer,Chercher matricule,ID-Nummer Suchen,Lookup ID number
Male,,Mannelijk,Masculin,Männlich,Male
Meals,,Maaltijden,Repas,Mahlzeiten,Meals
meals must be selected,,Maaltijden moeten gekozen worden,Les repas doivent être choisis,Sie müssen die Mahlzeiten wählen,meals must be selected
Mobile phone,,GSM nummer,Numéro GSM,Handynummer,Mobile phone
Mobile phone is required,,GSM nummer is vereist,Le numéro de GSM est requis,Die Handynummer ist erforderlich,Mobile phone is required
Name,,Naam,Nom,Name,Name
National id,,Nationale ID,Matricule,ID-Nummer,National id
National rating,,Nationale rating,Rating belge,Belgische Elo,National rating
Nationality,,Nationaliteit,Nationalité,Staatsangehörigkeit,Nationality
Nationality FIDE,,NAtionaliteit FIDE,Nationalité FIDE,FIDE Staatsangehörigkeit,Nationality FIDE
Nationality Passport,,NAtionaliteit Paspoort,Nationalité,Staatsangehörigkeit,Nationality Passport
New registration,,Nieuwe inschrijving,Nouvelle inscription,Neue Registrierung,New registration
New reservation,,Nieuwe reservering,Nouvelle réservation,Neue Reservierung,New reservation
News,,Nieuws,Nouvelles,Nachrichten,News
News items,,Nieuwsberichten,Des nouvelles,Nachrichten,News items
Next entry,,Volgend item,Message suivant,nächster Eintrag,Next entry
No,,Nee,Non,Nein,No
No meals,,Geen maaltijden,Pas de repas,Keine Mahlzeiten,No meals
No participant with this national ID,,Geen deelnemer met dit stamnummer,Pas de participant avec ce matricule,Kein Teilnehmer mit dieser nationalen ID,No participant with this national ID
"Normally the first meal is dinner at arrival day and the last meal is breakfast at departure day. Specify any special food wishes (vegetarian, gluten free, ...) or deviations from the normal meal scheme in the remarks field.",,"Standaard is het avondmaal op de aankomstdag de eerste maaltijd en het ontbijt op de vertrekdag de laatste.  Specifieke maaltijdwensen (vegetarisch, glutenvrij, ...) of afwijkingen van het schema noteer je in het veld opmerkingen","Normallement, le repas du soir le jour de l'arrivée est considéré comme le premier repas, le petit-déjeuner le jour de départ comme le dernier. Vous noterez vos souhaits spécifiques (végétarien, sans gluten...) ou les dérogations au schéma normal dans la case des remarques","Die Abendmahlzeit am Anreisetag ist die erste Mahlzeit und das Frühstück am Abreisetag die letzte.  Besondere Essenswünsche (vegetarisch, glutenfrei, ...) oder Abweichungen vom Zeitplan sollten im Feld Bemerkungen vermerkt werden. ","Normally the first meal is dinner at arrival day and the last meal is breakfast at departure day. Specify any special food wishes (vegetarian, gluten free, ...) or deviations from the normal meal scheme in the remarks field."
"Normally the reservation is for 6 nights, from 10-April until 16-April.  You can optionally add 1 night before and/or after.",,"Normaal gesproken is de reservering voor 6 nachten, van 10 april tot 16 april. Je kan optioneel  1 nacht ervoor en/of erna toevoegen.","Normalement, la réservation est de 6 nuits, du 10 avril au 16 avril. Vous pouvez éventuellement ajouter 1 nuit avant et/ou après.",Normalerweise gilt die Reservierung für 6 Nächte vom 10. April bis zum 16. April. Sie können optional 1 Nacht davor und/oder danach hinzufügen.,"Normally the reservation is for 6 nights, from 10-April until 16-April.  You can optionally add 1 night before and/or after."
"Nornally the reservation is for 3 nights, from 11-Nov until 14-Nov.  You can optionally add 1 night before andFromfter.",,"Standaard is de reservatie voor 3 nachten, van 11 tot 14 november.  Je kan naar keuze een dag vroeger aankomen of een dag later vertrekken.","Une réservation standard se fait pour 3 nuits, du 11 au 14 novembre. Vous avez le choix de venir un jour plus tôt ou de partir un jour plus tard.","Standard-Reservierung ist für 3 Nächte, von 11 bis 14 November.  Sie können wählen, ob Sie einen Tag früher anreisen oder einen Tag später abreisen möchten.        ","Nornally the reservation is for 3 nights, from 11-Nov until 14-Nov.  You can optionally add 1 night before andFromfter."
Not a valid mobile number,,Ongeldig GSM-nummer,Numéro de mobile invalide,Keine gültige Handynummer,Not a valid mobile number
notassigned,,niet toegewezen,non attribué,Nicht zugeordnet,notassigned
npo.,,vzw.,asbl.,VoE.,npo.
One of the required fields is invalid.,,Een van de verplichte velden is ongeldig,Un des champs requis n'est pas vailde,Eines der erforderlichen Felder ist ungültig,One of the required fields is invalid.
Optional information,,Optionele informatie,Information facultative,Optionale Information,Optional information
Other player,,Andere speler,Autre joueur,Andere Spieler,Other player
Our mission,,Onze missie,Notre mission,Unsere Aufgabe,Our mission
Overview of the lodging reservation,,Overzicht van de reservatie van de accommodatie,Aperçu de la réservation du logement,Übersicht der Buchung der Unterkunft,Overview of the lodging reservation
Page,,Pagina,Page,Seite,Page
Page not found,,Pagina niet gevonden,Page non trouvée,Seite nicht gefunden,Page not found
Pairings,,Paringen,Appariements,Paarungen,Pairings
Participants,,Deelnemers,Participants,Teilnehmer,Participants
Pay the amount to account BE33 0017 5924 5146 before the 25th of October with the structured message:,,Betaal het bedrag vóór 25 oktober op rekening BE33 0017 5924 5146 met de gestructureerde mededeling:,Veuillez payer le montant au compte BE33 0017 5924 5146 avant le 25 octobre avec la communication structurée:,Zahlen Sie bitte den Betrag vor dem 25. Oktober  auf das Konto BE33 0017 5924 5146: mit der strukturierten Nachricht:,Pay the amount to account BE33 0017 5924 5146 before the 25th of October with the structured message:
Payment,,Betaling,Paiement,Zahlung,Payment
Payment date,,Betalingsdatum,Date de paiement,Zahlungsdatum,Payment date
Payment message,,Betalingsmededeling,Message de paiement,Zahlungsmitteilung,Payment message
Person picking up the player after the game,,Persoon die de speler ophaalt na de partij,Personne qui vient chercher le joueur après la partie,"Person, die den Spieler nach dem Spiel abholt",Person picking up the player after the game
Photo,,Foto,Photo,Foto,Photo
Player found:,,Speler gevonden:,Joueur trouvé:,Spieler gefunden:,Player found:
Please find attached the invoice for the subscription to the\nBelgian Youth championships 2020,,In bijlage vind je de factuur voor de inschrijving van het Belgische jeugdkampioenschap 2021.,Veuillez trouver ci-joint la facture pour l'inscription au championnat de la jeunesse 2021,Im Anhang finden Sie die Rechnung für die Anmeldung der Belgische Jugendmeisterschaften 2021,Please find attached the invoice for the subscription to the\nBelgian Youth championships 2020
"Please provide the coordinates of the responsible of the accomdation. This must be an adult, present in the Foreal during the tournament. This adult may be staying in another room.",,"Geef de coordinaten van een volwassen verantwoordelijke van het verblijf op.  Deze persoon moet tijdens het toernooi in de Floreal verblijven , desgewenst op een andere kamer.","Indiquez les coordonnées d'un responsable adulte du séjour. Cette personne doit séjourner au Floréal pendant le tournoi, éventuellement dans une autre chambre.","Geben Sie die Koordinaten eines Erwachsenen an, der für den Aufenthalt verantwortlich ist.  Diese Person muss während des Turniers im Floreal wohnen, eventuell in einem anderen Zimmer.       ","Please provide the coordinates of the responsible of the accomdation. This must be an adult, present in the Foreal during the tournament. This adult may be staying in another room."
Please provide your id number of the RBCF,,Gelieve je stamnummer op te geven.,Veuillez fournir le matricule de la FRBE.,Bitte geben Sie Ihre ID-Nummer beim KSB an.,Please provide your id number of the RBCF
Please take into account that it takes a few days before a newly requested id number is available.,,Hou er rekening mee dat het enkele dagen duurt vooraleer een aangevraagd stamnummer beschikbaar wordt.,Veuillez tenir compte que ça prend quelques jours avant que le matricule soit disponible. ,"Bitte beachten Sie, dass es einige Tage dauert bevor eine neu angeforderte ID-Nummer verfügbar ist.",Please take into account that it takes a few days before a newly requested id number is available.
Previous entry,,Vorig item,Message précédant,vorheriger Eintrag,Previous entry
Price VAT excluded,,Prijs excl. BTW,Prix TVA exclusif.,Preis exklusive Mehrwertsteuer  ,Price VAT excluded
Price VAT included,,Prijs incl. BTW,Prix TVA inclus,Preis inklusive Mehrwertsteuer  ,Price VAT included
Privacy rules,,Privacyregels,Confidentialité des données,Datenschutzregeln,Privacy rules
"Provide for any guest, the name, first name, birthday. Indicate if a guest intends to particpatte to the tournament.",,"Geef voor iedere gast op: voornaam, achternaam, geboortedatum. Duid aan als een gast aan het toernooi deelneemt","Indiquez pour chaque invité: le prénom, le nom de famille, la date de naissance. Indiquez si l'invité participe au tournoi.","Bitte geben Sie für jeden Gast ein: Vorname, Nachname, Geburtsdatum. Geben Sie an, ob ein Gast an dem Turnier teilnimmt","Provide for any guest, the name, first name, birthday. Indicate if a guest intends to particpatte to the tournament."
Read more,,Lees verder,En savoir plus,Weiter lesen,Read more
Remarks,,Opmerkingen,Remarques,Bemerkungen,Remarks
Required information,,"Voor niet-meerderjarige deelnemers hebben we de coördinaten nodig van een ouder en van een aanwezige begeleider.  Voor meerderjarigen hebben we het e-mailadres en gsm nummer.   Alle overige velden zijn optioneel, maar we vragen toch om die in te vullen.",Information requise,erforderliche Informationen,Required information
Reservation,,Reservering,Réservation,Reservierung,Reservation
Reservation tool,,Reservatietool,Outil de réservation,Reservierungstool,Reservation tool
Reservation wizard,,Reserveringswizard,Assistant de réservation,Reservierungsassistent,Reservation wizard
Responsible of the reservation,,Verantwoordelijke reservatie,Responsable de la réservation,Verantwortliche(r) der Reservierung,Responsible of the reservation
Resulting photo,,Resultaatfoto,La photo résultante,Ergebnisbild,Resulting photo
Round,,Ronde,Ronde,Runde,Round
Rows per page,,Rijen per pagina,Lignes per page,Zeilen pro Seite,Rows per page
Schoolattest,,Schoolattest,Attestation scolaire,school certificate,Schoolattest
Select photo,,Foto kiezen,Selectionner Photo,Foto wählen,Select photo
Select which accomodation you want,,Kies jouw gewenste accomodatie,Choisissez le logement souhaité,Wählen Sie die gewünschte Unterkunft,Select which accomodation you want
Select which meals you want,,Kies jouw gewenste maaltijden,Choisissez les repas souhaités,Wählen Sie die gewünschten Mahlzeiten,Select which meals you want
Single hotel room (1 pers),,1 persoonskamer hotel,Chambre d'hôtel 1 personne,1-Personzimmer Hotel,Single hotel room (1 pers)
Small apartment (3 or 4 pers),,Klein appartement (3 of 4 pers.),Petit appartement (3 ou 4 personnes),Kleines Appartement (3 oder 4 Personen),Small apartment (3 or 4 pers)
Specify any special requirements in the remarks field.,,Geef speciale wensen op in het veld opmerkingen,Indiquez les souhaits spécifiques dans la case remarques,Bitte geben Sie alle spezifischen Anforderungen im Feld Bemerkungen an.,Specify any special requirements in the remarks field.
Standings,,Klassement,Classement,Rangliste,Standings
Step,,Stap,Étape,Stufe,Step
Studio (1 pers),,Studio (1 pers),Studio (1 personne),Studio (1 Person),Studio (1 pers)
Studio (2 or 3 pers),,Studio (2 of 3 pers),Studio (2 ou 3 personnes),Studio (2 oder 3 Personen),Studio (2 or 3 pers)
Studio (2 pers),,Studio (2 pers),Studio (2 personnes),Studio (2 Personen),Studio (2 pers)
SubConf1,,Het inschrijvingsgeld bedraagt vanaf 15 oktober 45 Euro,Le droit d’inscription est de 45 euros à partir du 15 ocotber,Die Anmeldegebühr beträgt 45 Euro ab 15. Oktober 2021 anmelden. ,The enrollment fee is 45 Euro from 15th of October
SubConf1_old,,Het inschrijvingsgeld bedraagt 35 EUR indien je je voor 15 oktober 2021 inschrijft. Nadien bedraagt het 45 EUR,"Le droit d’inscription est de 35 euros si vous êtes enregistré avant le 15 octobre 2021. Après cette date, le montant s'élève à 45 euros.","Die Anmeldegebühr beträgt 35 Euro, wenn Sie vor dem 15. Oktober 2021 anmelden. Danach erhöht sich diese auf 45 Euro.",
SubConf2,,Betaal het bedrag op rekening BE33 0017 5924 5146 van Bycco met de volgende gestructureerde mededeling:,Veuillez payer le montant au compte BE33 0017 5924 5146 avec le message structuré: ,Überweisen Sie den Betrag auf das Konto BE33 0017 5924 5146 von Bycco mit der strukturierten Mitteilung:,
SubDetail5,,Een van de verplichte velden is ongeldig.,"Un des champs requis, est invalide.",Eines der erforderlichen Felder ist ungültig.,
